user_id,age,gender,country,account_age_months,subscription_type,monthly_fee,payment_method,primary_device,devices_used,favorite_genre,avg_watch_time_minutes,watch_sessions_per_week,binge_watch_sessions,completion_rate,rating_given,content_interactions,recommendation_click_rate,days_since_last_login,churned
U100000,56,1,1,17,1,15.99,1,1,1,1,220,17,3,60,1.7,5,66,16,0
U100001,46,2,2,20,1,12.99,1,2,2,2,76,15,4,71,4.6,7,78,14,0
U100002,32,3,2,25,2,15.99,1,2,2,3,215,6,13,33,2.0,27,29,41,0
U100003,60,1,3,37,1,12.99,1,3,3,4,280,4,9,58,1.2,9,23,22,0
U100004,25,1,4,23,3,12.99,1,4,3,5,261,15,9,64,1.3,49,56,54,0
U100005,38,2,5,23,1,12.99,1,2,2,2,92,11,1,46,3.9,15,36,18,0
U100006,56,3,4,11,2,15.99,2,2,1,2,111,9,12,93,3.3,45,46,2,0
U100007,36,3,6,46,1,15.99,1,4,3,1,293,10,2,81,1.7,42,35,59,0
U100008,40,2,6,20,2,12.99,2,1,2,6,202,7,9,60,2.0,15,24,31,0
U100009,28,2,7,7,3,15.99,3,4,2,4,246,2,5,55,4.9,11,17,31,1
U100010,28,2,4,23,1,12.99,2,4,1,1,44,18,4,68,1.4,22,80,7,0
U100011,41,3,5,23,2,12.99,4,3,2,6,182,3,10,84,2.5,28,40,40,0
U100012,53,1,6,27,1,7.99,3,4,1,2,42,18,5,74,2.9,12,43,0,1
U100013,57,2,7,21,1,7.99,3,3,1,2,68,13,5,76,1.7,6,67,12,0
U100014,41,2,8,21,2,12.99,3,4,2,4,150,10,4,52,1.2,21,77,16,1
U100015,20,1,9,58,1,15.99,2,4,2,2,294,1,3,35,2.5,7,53,19,0
U100016,39,1,1,32,3,7.99,1,1,2,7,141,15,1,71,4.0,16,60,32,0
U100017,19,3,3,50,1,7.99,2,2,2,6,154,10,1,89,2.3,39,10,33,0
U100018,41,2,4,28,1,7.99,2,3,3,3,219,19,2,45,3.9,15,86,16,0
U100019,61,3,2,37,2,7.99,4,2,1,3,20,16,7,72,2.7,34,86,42,0
U100020,47,1,2,2,2,12.99,1,3,2,3,283,15,5,71,2.9,11,77,20,0
U100021,55,2,8,29,3,12.99,2,4,1,8,80,10,3,77,1.5,24,55,49,0
U100022,19,3,7,50,3,7.99,2,4,3,2,275,10,7,31,3.7,32,55,5,1
U100023,38,3,2,9,2,12.99,1,2,1,7,171,16,4,57,1.9,23,22,29,1
U100024,50,1,4,35,1,7.99,3,2,2,8,241,19,11,67,3.9,11,66,0,0
U100025,29,2,4,38,1,12.99,1,3,1,8,52,5,2,33,2.5,48,73,33,0
U100026,39,3,1,39,2,15.99,3,3,2,7,182,2,11,77,3.8,34,35,33,0
U100027,61,3,6,47,1,15.99,3,3,2,8,128,9,2,85,2.7,14,73,30,0
U100028,42,1,7,4,3,7.99,3,4,3,1,127,10,7,59,4.3,49,18,32,0
U100029,44,2,7,22,1,12.99,1,4,2,7,18,12,11,97,2.5,5,63,27,1
U100030,59,1,9,23,3,7.99,2,3,1,4,291,3,11,40,2.3,4,69,23,0
U100031,45,3,1,6,2,7.99,1,3,1,5,242,18,1,95,2.2,13,61,46,0
U100032,33,2,3,36,2,7.99,2,4,3,8,18,13,11,58,2.4,34,10,34,0
U100033,32,1,1,20,1,15.99,4,2,1,5,271,3,8,40,1.8,29,67,21,1
U100034,64,2,8,51,3,15.99,2,2,3,5,72,8,13,44,4.7,44,92,33,1
U100035,61,2,5,5,3,7.99,3,1,2,6,212,13,1,68,2.8,44,32,26,0
U100036,20,2,2,12,3,15.99,1,4,2,4,122,12,13,83,4.3,48,86,16,0
U100037,54,3,8,59,1,7.99,2,1,2,1,64,6,3,65,4.0,3,53,19,1
U100038,24,2,6,1,3,7.99,4,4,1,4,27,10,13,51,2.4,34,84,27,0
U100039,38,1,1,39,2,15.99,4,2,3,4,218,7,5,73,3.8,4,66,21,0
U100040,26,2,7,41,1,15.99,2,1,1,5,262,2,12,35,2.3,39,29,56,0
U100041,56,2,4,3,1,12.99,1,1,3,5,263,11,0,31,4.1,20,88,50,0
U100042,35,3,3,42,1,7.99,3,1,3,7,129,16,1,67,2.0,31,61,38,0
U100043,21,1,6,43,1,15.99,1,1,1,6,190,2,11,43,1.7,36,30,8,0
U100044,42,2,2,56,3,15.99,3,1,2,1,265,5,0,74,4.3,25,97,6,0
